Id;Name;Alter;Punkte;Geburtsdatum;Email;Stadt;Aktiv
1;Ben;51;32; 2001-05-12 ;ben@@mail..com;Hamburg;  ja  
2;Max;??;55;;max2@mail.com;Dortmund;ja
3;Max;16;;;   max@mail.com  ;Stuttgart;nein
4;Lena;;ABC;1987-01-14;lena@@mail..com;Leipzig;ja
5;Lena;??;; 2001-05-12 ;   max@mail.com  ;  Berlin  ;ja
6;Mia;??;;32.13.2020;mia6@mail.com;Stuttgart;ja
7;Ben;??;ABC;32.13.2020;   max@mail.com  ;Köln;nein
8;Noah;29;; 2001-05-12 ;;  Berlin  ;
9;Mia;32;; 2001-05-12 ;mia9@mail.com;Stuttgart;
10;Ella;;ABC;32.13.2020;ella10@mail.com;;
11;Mia;53;;2020-10-06;;Berlin;ja
12;Julia;70;57;1985-04-09;julia@@mail..com;Dortmund;
13;Julia;;;32.13.2020;   max@mail.com  ;Dortmund;  ja  
14;Mia;22;ABC;;;Hamburg;
15;Noah;??;;1952-07-05;noah@@mail..com;Stuttgart;  ja  
16;Noah;;ABC;1978-09-21;   max@mail.com  ;  Berlin  ;
17;Lucas;  23  ;;1956-05-03;;Leipzig;nein
18;Lucas;  23  ;16;;   max@mail.com  ;Köln;ja
19;Lucas;  23  ;; 2001-05-12 ;lucas19@mail.com;Essen;
20;Noah;46;ABC;;;  Berlin  ;nein
21;Lena;;34; 2001-05-12 ;lena@@mail..com;Hamburg;ja
22;Julia;;;32.13.2020;;Dortmund;
23;Julia;;ABC;1967-10-18;;Berlin;  ja  
24;Julia;; -5 ; 2001-05-12 ;julia24@mail.com;  Berlin  ;nein
25;Ella;  23  ; -5 ;32.13.2020;ella25@mail.com;Berlin;
26;Max;54;ABC;;   max@mail.com  ;Köln;ja
27;Mia;;20;32.13.2020;;Stuttgart;
28;Julia;  23  ;5;32.13.2020;   max@mail.com  ;Essen;
29;Lucas;19;ABC; 2001-05-12 ;;Leipzig;nein
30;Noah;  23  ;;32.13.2020;noah30@mail.com;Stuttgart;ja
31;Ella;  23  ;ABC;;;  Berlin  ;
32;Tom;36;69;;   max@mail.com  ;Hamburg;
33;Noah;70;93;32.13.2020;;Stuttgart;  ja  
34;Ben;  23  ;;32.13.2020;;Hamburg;
35;Ben;;69;;ben@@mail..com;Leipzig;  ja  
36;Noah;25;; 2001-05-12 ;   max@mail.com  ;;
37;Noah;??;ABC; 2001-05-12 ;noah37@mail.com;Essen;ja
38;Max;  23  ;;32.13.2020;   max@mail.com  ;  Berlin  ;  ja  
39;Ben;54;ABC;32.13.2020;   max@mail.com  ;München;nein
40;Lena;??;ABC;32.13.2020;lena@@mail..com;Berlin;ja
41;Noah;  23  ;;32.13.2020;;Köln;  ja  
42;Ella;20;ABC; 2001-05-12 ;ella@@mail..com;  Berlin  ;ja
43;Mia;??; -5 ;;mia43@mail.com;;ja
44;Sarah;55;34;1967-10-27;   max@mail.com  ;München;  ja  
45;Lucas;;ABC;;lucas45@mail.com;Essen;  ja  
46;Julia;  23  ;;1998-12-18;julia@@mail..com;;  ja  
47;Ella;16;;32.13.2020;ella@@mail..com;;nein
48;Sarah;  23  ;ABC; 2001-05-12 ;   max@mail.com  ;Hamburg;nein
49;Ella;;36;1953-02-19;;Köln;ja
50;Noah;  23  ; -5 ;2017-06-01;   max@mail.com  ;Stuttgart;
51;Sarah;??;ABC; 2001-05-12 ;sarah@@mail..com;;ja
52;Sarah;;ABC; 2001-05-12 ;sarah@@mail..com;Dortmund;ja
53;Lucas;??; -5 ;;;Berlin;  ja  
54;Ben;??; -5 ;1972-02-27;;Leipzig;  ja  
55;Noah;; -5 ;2012-03-15;;;ja
56;Ella;42;45;;ella56@mail.com;Essen;
57;Ella;;;1980-06-09;ella57@mail.com;;
58;Mia;47; -5 ;;   max@mail.com  ;;  ja  
59;Ben;  23  ; -5 ;;ben59@mail.com;  Berlin  ;  ja  
60;Lena;; -5 ;;   max@mail.com  ;  Berlin  ;nein
61;Ella;??;; 2001-05-12 ;;Leipzig;  ja  
62;Tom;; -5 ; 2001-05-12 ;;Stuttgart;ja
63;Ben;17;76; 2001-05-12 ;   max@mail.com  ;Dortmund;
64;Julia;;; 2001-05-12 ;   max@mail.com  ;Köln;nein
65;Tom;  23  ;ABC;32.13.2020;;Stuttgart;ja
66;Tom;20;1;32.13.2020;tom@@mail..com;Essen;nein
67;Ben;65;ABC;1968-11-18;   max@mail.com  ;Leipzig;nein
68;Julia;  23  ;1;;julia68@mail.com;Leipzig;ja
69;Lucas;;ABC;;   max@mail.com  ;Essen;
70;Sarah;;31;1972-06-14;;;  ja  
71;Noah;??;84;1984-12-20;;Köln;ja
72;Ben;;54; 2001-05-12 ;;Hamburg;
73;Max;23;;2000-12-15;;Hamburg;
74;Lena;  23  ;ABC;32.13.2020;lena@@mail..com;Leipzig;  ja  
75;Julia;  23  ;ABC;;;Dortmund;  ja  
76;Ella;45;ABC;2017-09-24;;Köln;nein
77;Lena;  23  ;ABC;1994-03-19;lena77@mail.com;Leipzig;
78;Lucas;  23  ; -5 ;1991-12-24;lucas78@mail.com;Köln;
79;Lena;  23  ;73; 2001-05-12 ;;Essen;ja
80;Ella;66;17;32.13.2020;ella@@mail..com;  Berlin  ;
